video_id,source_video_id,manipulation_type,binary_label,split,video_path
071,071,real,0,train,original/071.mp4
054,054,real,0,train,original/054.mp4
071_054,054,df,1,train,Deepfakes/071_054.mp4
054_071,071,df,1,train,Deepfakes/054_071.mp4
087,087,real,0,train,original/087.mp4
081,081,real,0,train,original/081.mp4
087_081,081,df,1,train,Deepfakes/087_081.mp4
081_087,087,df,1,train,Deepfakes/081_087.mp4
881,881,real,0,train,original/881.mp4
856,856,real,0,train,original/856.mp4
881_856,856,df,1,train,Deepfakes/881_856.mp4
856_881,881,df,1,train,Deepfakes/856_881.mp4
187,187,real,0,train,original/187.mp4
234,234,real,0,train,original/234.mp4
187_234,234,df,1,train,Deepfakes/187_234.mp4
234_187,187,df,1,train,Deepfakes/234_187.mp4
645,645,real,0,train,original/645.mp4
688,688,real,0,train,original/688.mp4
645_688,688,df,1,train,Deepfakes/645_688.mp4
688_645,645,df,1,train,Deepfakes/688_645.mp4
754,754,real,0,train,original/754.mp4
758,758,real,0,train,original/758.mp4
754_758,758,df,1,train,Deepfakes/754_758.mp4
758_754,754,df,1,train,Deepfakes/758_754.mp4
811,811,real,0,train,original/811.mp4
920,920,real,0,train,original/920.mp4
811_920,920,df,1,train,Deepfakes/811_920.mp4
920_811,811,df,1,train,Deepfakes/920_811.mp4
710,710,real,0,train,original/710.mp4
788,788,real,0,train,original/788.mp4
710_788,788,df,1,train,Deepfakes/710_788.mp4
788_710,710,df,1,train,Deepfakes/788_710.mp4
628,628,real,0,train,original/628.mp4
568,568,real,0,train,original/568.mp4
628_568,568,df,1,train,Deepfakes/628_568.mp4
568_628,628,df,1,train,Deepfakes/568_628.mp4
312,312,real,0,train,original/312.mp4
021,021,real,0,train,original/021.mp4
312_021,021,df,1,train,Deepfakes/312_021.mp4
021_312,312,df,1,train,Deepfakes/021_312.mp4
950,950,real,0,train,original/950.mp4
836,836,real,0,train,original/836.mp4
950_836,836,df,1,train,Deepfakes/950_836.mp4
836_950,950,df,1,train,Deepfakes/836_950.mp4
059,059,real,0,train,original/059.mp4
050,050,real,0,train,original/050.mp4
059_050,050,df,1,train,Deepfakes/059_050.mp4
050_059,059,df,1,train,Deepfakes/050_059.mp4
524,524,real,0,train,original/524.mp4
580,580,real,0,train,original/580.mp4
524_580,580,df,1,train,Deepfakes/524_580.mp4
580_524,524,df,1,train,Deepfakes/580_524.mp4
751,751,real,0,train,original/751.mp4
752,752,real,0,train,original/752.mp4
751_752,752,df,1,train,Deepfakes/751_752.mp4
752_751,751,df,1,train,Deepfakes/752_751.mp4
918,918,real,0,train,original/918.mp4
934,934,real,0,train,original/934.mp4
918_934,934,df,1,train,Deepfakes/918_934.mp4
934_918,918,df,1,train,Deepfakes/934_918.mp4
604,604,real,0,train,original/604.mp4
703,703,real,0,train,original/703.mp4
604_703,703,df,1,train,Deepfakes/604_703.mp4
703_604,604,df,1,train,Deepfakes/703_604.mp4
296,296,real,0,train,original/296.mp4
293,293,real,0,train,original/293.mp4
296_293,293,df,1,train,Deepfakes/296_293.mp4
293_296,296,df,1,train,Deepfakes/293_296.mp4
518,518,real,0,train,original/518.mp4
131,131,real,0,train,original/131.mp4
518_131,131,df,1,train,Deepfakes/518_131.mp4
131_518,518,df,1,train,Deepfakes/131_518.mp4
536,536,real,0,train,original/536.mp4
540,540,real,0,train,original/540.mp4
536_540,540,df,1,train,Deepfakes/536_540.mp4
540_536,536,df,1,train,Deepfakes/540_536.mp4
969,969,real,0,train,original/969.mp4
897,897,real,0,train,original/897.mp4
969_897,897,df,1,train,Deepfakes/969_897.mp4
897_969,969,df,1,train,Deepfakes/897_969.mp4
372,372,real,0,train,original/372.mp4
413,413,real,0,train,original/413.mp4
372_413,413,df,1,train,Deepfakes/372_413.mp4
413_372,372,df,1,train,Deepfakes/413_372.mp4
357,357,real,0,train,original/357.mp4
432,432,real,0,train,original/432.mp4
357_432,432,df,1,train,Deepfakes/357_432.mp4
432_357,357,df,1,train,Deepfakes/432_357.mp4
809,809,real,0,train,original/809.mp4
799,799,real,0,train,original/799.mp4
809_799,799,df,1,train,Deepfakes/809_799.mp4
799_809,809,df,1,train,Deepfakes/799_809.mp4
092,092,real,0,train,original/092.mp4
098,098,real,0,train,original/098.mp4
092_098,098,df,1,train,Deepfakes/092_098.mp4
098_092,092,df,1,train,Deepfakes/098_092.mp4
302,302,real,0,train,original/302.mp4
323,323,real,0,train,original/323.mp4
302_323,323,df,1,train,Deepfakes/302_323.mp4
323_302,302,df,1,train,Deepfakes/323_302.mp4
981,981,real,0,train,original/981.mp4
985,985,real,0,train,original/985.mp4
981_985,985,df,1,train,Deepfakes/981_985.mp4
985_981,981,df,1,train,Deepfakes/985_981.mp4
512,512,real,0,train,original/512.mp4
495,495,real,0,train,original/495.mp4
512_495,495,df,1,train,Deepfakes/512_495.mp4
495_512,512,df,1,train,Deepfakes/495_512.mp4
088,088,real,0,train,original/088.mp4
060,060,real,0,train,original/060.mp4
088_060,060,df,1,train,Deepfakes/088_060.mp4
060_088,088,df,1,train,Deepfakes/060_088.mp4
795,795,real,0,train,original/795.mp4
907,907,real,0,train,original/907.mp4
795_907,907,df,1,train,Deepfakes/795_907.mp4
907_795,795,df,1,train,Deepfakes/907_795.mp4
535,535,real,0,train,original/535.mp4
587,587,real,0,train,original/587.mp4
535_587,587,df,1,train,Deepfakes/535_587.mp4
587_535,535,df,1,train,Deepfakes/587_535.mp4
297,297,real,0,train,original/297.mp4
270,270,real,0,train,original/270.mp4
297_270,270,df,1,train,Deepfakes/297_270.mp4
270_297,297,df,1,train,Deepfakes/270_297.mp4
838,838,real,0,train,original/838.mp4
810,810,real,0,train,original/810.mp4
838_810,810,df,1,train,Deepfakes/838_810.mp4
810_838,838,df,1,train,Deepfakes/810_838.mp4
850,850,real,0,train,original/850.mp4
764,764,real,0,train,original/764.mp4
850_764,764,df,1,train,Deepfakes/850_764.mp4
764_850,850,df,1,train,Deepfakes/764_850.mp4
476,476,real,0,train,original/476.mp4
400,400,real,0,train,original/400.mp4
476_400,400,df,1,train,Deepfakes/476_400.mp4
400_476,476,df,1,train,Deepfakes/400_476.mp4
268,268,real,0,train,original/268.mp4
269,269,real,0,train,original/269.mp4
268_269,269,df,1,train,Deepfakes/268_269.mp4
269_268,268,df,1,train,Deepfakes/269_268.mp4
033,033,real,0,train,original/033.mp4
097,097,real,0,train,original/097.mp4
033_097,097,df,1,train,Deepfakes/033_097.mp4
097_033,033,df,1,train,Deepfakes/097_033.mp4
226,226,real,0,train,original/226.mp4
491,491,real,0,train,original/491.mp4
226_491,491,df,1,train,Deepfakes/226_491.mp4
491_226,226,df,1,train,Deepfakes/491_226.mp4
784,784,real,0,train,original/784.mp4
769,769,real,0,train,original/769.mp4
784_769,769,df,1,train,Deepfakes/784_769.mp4
769_784,784,df,1,train,Deepfakes/769_784.mp4
195,195,real,0,train,original/195.mp4
442,442,real,0,train,original/442.mp4
195_442,442,df,1,train,Deepfakes/195_442.mp4
442_195,195,df,1,train,Deepfakes/442_195.mp4
678,678,real,0,train,original/678.mp4
460,460,real,0,train,original/460.mp4
678_460,460,df,1,train,Deepfakes/678_460.mp4
460_678,678,df,1,train,Deepfakes/460_678.mp4
320,320,real,0,train,original/320.mp4
328,328,real,0,train,original/328.mp4
320_328,328,df,1,train,Deepfakes/320_328.mp4
328_320,320,df,1,train,Deepfakes/328_320.mp4
451,451,real,0,train,original/451.mp4
449,449,real,0,train,original/449.mp4
451_449,449,df,1,train,Deepfakes/451_449.mp4
449_451,451,df,1,train,Deepfakes/449_451.mp4
409,409,real,0,train,original/409.mp4
382,382,real,0,train,original/382.mp4
409_382,382,df,1,train,Deepfakes/409_382.mp4
382_409,409,df,1,train,Deepfakes/382_409.mp4
556,556,real,0,train,original/556.mp4
588,588,real,0,train,original/588.mp4
556_588,588,df,1,train,Deepfakes/556_588.mp4
588_556,556,df,1,train,Deepfakes/588_556.mp4
027,027,real,0,train,original/027.mp4
009,009,real,0,train,original/009.mp4
027_009,009,df,1,train,Deepfakes/027_009.mp4
009_027,027,df,1,train,Deepfakes/009_027.mp4
196,196,real,0,train,original/196.mp4
310,310,real,0,train,original/310.mp4
196_310,310,df,1,train,Deepfakes/196_310.mp4
310_196,196,df,1,train,Deepfakes/310_196.mp4
241,241,real,0,train,original/241.mp4
210,210,real,0,train,original/210.mp4
241_210,210,df,1,train,Deepfakes/241_210.mp4
210_241,241,df,1,train,Deepfakes/210_241.mp4
295,295,real,0,train,original/295.mp4
